group,rows,MAE,RMSE,R2,bias_AED,interval_coverage
Madinat Al Mataar,2768,115869.88663024662,246778.56568150385,0.94367745166816,-56478.599452234856,0.9450867052023122
JUMEIRAH VILLAGE CIRCLE,1361,180811.80531693524,309253.4027657007,0.7223322424510962,79059.89604384647,0.8141072740631888
CITY OF ARABIA,1162,78252.70941726863,155109.06389428064,0.901420651400779,-53675.58957177451,0.9604130808950087
Jabal Ali Industrial Second,835,93375.34589842377,132225.77567806508,0.790853955438402,-61182.70701522253,0.9221556886227545
MAJAN,644,77803.89267187868,124960.17063153734,0.9120747916894705,-11558.02791286905,0.9456521739130435
DUBAI LAND RESIDENCE COMPLEX,592,98617.80164297736,143407.72925988317,0.8456084306462124,-18314.926017705,0.9138513513513513
BUSINESS BAY,531,825176.5918057975,3084379.127148167,0.7234772151325168,-456332.02252505516,0.8192090395480226
DOWN TOWN JABAL ALI,427,109058.70701517373,158476.12766226256,0.7786267764346185,-49894.64338004659,0.9110070257611241
ARJAN,358,123310.85792146559,257601.4956593507,0.7462892640339769,21894.084478560148,0.9413407821229051
DUBAI PRODUCTION CITY,354,110573.03218876457,163702.8199051278,0.8846460382314573,-11568.961780393283,0.8305084745762712
Jabal Ali First,348,99913.14675425383,163691.0787663257,0.9591992910714227,-40837.72549920289,0.9885057471264368
DUBAI MARINA,335,873441.0124313263,1521352.8729530051,0.5755732348341408,-83682.26686056724,0.43582089552238806
Al Hebiah Fifth,328,79792.70303391932,163721.80312695177,0.9110029856849848,-8523.8192519912,0.948170731707317
Al Khairan First,312,328147.68530135945,397504.6197854937,0.8383580279496397,-289000.2686532295,0.9967948717948718
Al Hebiah First,275,119220.0959139241,173103.10957483834,0.38657272749455185,95585.68669206709,0.8654545454545455
BURJ KHALIFA,262,1152348.6834569247,2574445.198140239,0.7322381236591884,-188268.73368739974,0.6679389312977099
Al Yufrah 1,242,135571.26454133156,212744.5999699554,0.9490655873023119,57808.85552254748,0.9958677685950413
DUBAI SPORTS CITY,230,127771.8983053279,210593.80017253757,0.8226273187986919,-6484.023169369392,0.8652173913043478
JUMEIRAH VILLAGE TRIANGLE,226,131918.8984175189,275734.96672326967,0.678277344127951,12474.031976920645,0.9070796460176991
BUSINESS PARK,216,114039.10485584156,254700.81708517796,0.9195447684933361,-28206.93335950248,0.9768518518518519
DAMAC HILLS,199,68326.88535289078,129453.9194048242,0.9378639471719387,11908.413479316489,0.9899497487437185
AL FURJAN,188,147187.78292117987,233455.5875279887,0.90377077980103,-2877.969083088413,0.9521276595744681
INTERNATIONAL CITY PH 1,180,62534.82351720235,85996.98859221165,0.8888597059731003,10551.805767314278,0.9
Palm Deira,177,404646.10579510225,855195.0243884481,0.8081606588971957,6060.521468127946,0.9322033898305084
DUBAI HILLS,176,1676224.7806643953,13218100.6853352,0.5520827701099884,-780507.1038054872,0.75
INTERNATIONAL CITY PH 2 & 3,174,197557.3558120438,1264987.8640861479,0.8192898477903486,-104072.61443849189,0.8275862068965517
Al Yelayiss 1,172,271740.40826833376,340932.1406932115,0.8570423246586469,121954.97711060084,1.0
JUMEIRAH LAKES TOWERS,167,431441.43529152335,1216498.8373169834,0.4844303545012272,254063.2539863143,0.7485029940119761
DUBAI SOUTH,164,110562.06339927463,160840.86593484457,0.9029993579631477,45099.678445009966,0.8719512195121951
MOTOR CITY,161,216024.32557002534,453307.7398142772,0.9101512965708732,-104893.993816599,0.906832298136646
DUBAI INDUSTRIAL CITY,158,93688.52498643383,118639.0605206614,0.6759721209270557,-39471.754898432446,0.7784810126582279
SOBHA HEARTLAND,154,323308.8481726493,511212.5630795945,0.7891102256142367,261478.2643627978,0.7727272727272727
SAMA AL JADAF,148,81014.20386123325,115893.80346647048,0.9315550541528481,40137.394574773985,0.9932432432432432
Wadi Al Safa 4,140,93234.94921898926,160316.40631961706,0.9730812396170011,-10933.282249655924,1.0
DUBAI STUDIO CITY,140,89509.809945927,210283.58178034797,0.4882256564634615,24915.699563324062,0.9214285714285714
MEYDAN ONE,137,240238.728928826,443146.0148646295,0.7158941459071357,30790.271522093182,0.7737226277372263
DUBAI CREEK HARBOUR,136,306342.38144549774,643924.490854602,0.5302827175969231,58003.87348779405,0.9191176470588235
Palm Jabal Ali,132,987798.7727687536,1387866.4415809652,0.7975135816200886,-287136.4318192714,0.6893939393939394
DUBAI SCIENCE PARK,124,93867.81159270692,162749.8150419815,0.9185958395507882,38480.122704709276,0.967741935483871
Wadi Al Safa 5,121,219343.04908888237,300022.6357472689,0.9382669485987478,-4532.043494510414,0.9834710743801653
LIVING LEGENDS,118,84443.74670686013,145369.3573315517,0.9125808928114079,-20528.67207776016,0.9491525423728814
Hadaeq Sheikh Mohammed Bin Rashid,115,686810.8511407532,2467375.7170025716,0.8418444828864846,-95739.11224803134,0.9130434782608695
SILICON OASIS,114,148951.93609652293,212825.6566527735,0.8238303909578502,-118988.65211186656,0.7807017543859649
Al Thanyah Fifth,107,375165.71472878224,602503.9518353916,0.9129501877933174,-218445.75150422304,0.9252336448598131
DUBAI MARITIME CITY,105,409152.04536828684,664764.7500311792,0.7056236221174045,-312745.50686516217,0.9142857142857143
Wadi Al Safa 3,105,714781.208266637,1031184.741083197,0.905631367523852,299771.28045529523,0.5428571428571428
DISCOVERY GARDENS,105,47677.23328367188,73560.76070078106,0.93216695293586,-6791.797924398886,0.9904761904761905
HORIZON,104,215975.75545249067,304985.25145082106,0.8379448788238516,-4052.882861310813,0.9615384615384616
PALM JUMEIRAH,90,4573951.502498529,21151000.340613257,0.4089330952483572,-3014323.8842823664,0.45555555555555555
Al Yelayiss 2,88,144406.32661836583,204640.71431183242,0.9155150122303403,-2065.2818653670097,0.9659090909090909
Al Satwa,87,126313.37432557602,206847.1827529325,0.79229995150667,-66136.23232027599,0.9310344827586207
DUBAI HEALTHCARE CITY - PHASE 2,82,203121.84090048744,268388.91884629155,0.8713257943566592,97027.25213995516,0.9634146341463414
TOWN SQUARE,82,132074.99601542304,212806.93449798872,0.9295290711660064,-19761.595439042827,0.9390243902439024
Bukadra,76,138761.86289266337,199418.14420743435,0.9720507169104815,-12447.531053717745,0.9868421052631579
Al Rowaiyah First,76,1588626.9071725605,1842883.783247926,-1.268875254546879,-1441456.058477735,0.14473684210526316
Al Wasl,72,742613.4841675025,2325305.421097533,0.6083342802991811,489523.2026879125,0.9166666666666666
Al Hebiah Sixth,69,264359.30369997065,356706.875396502,0.6478731136501317,-224165.14027784322,0.9710144927536232
DMCC-EZ2,64,90332.08242397425,144678.24102197023,0.9533324893962788,-31098.32441896348,1.0
Dubai Investment Park Second,60,113529.27432124237,155874.63214773044,0.9824776666264211,-52787.79313868052,1.0
Warsan First,60,30412.853978306364,47064.82657770015,0.9595947714547984,13986.606437788594,1.0
JUMEIRAH BEACH RESIDENCE,58,470208.614494564,830677.5921264115,0.6527802983187703,-107210.06563888525,0.8103448275862069
LIWAN,57,186826.71453717255,266604.7008329207,0.6685868891421296,131413.6183947121,0.6666666666666666
THE GREENS,56,448487.9891244922,806492.8444792267,0.30471200187596525,234050.18650035775,0.7321428571428571
Madinat Dubai Almelaheyah,54,427856.5514875163,578903.7066443283,0.7571762125930116,-25369.38850532249,0.8148148148148148
EMIRATE LIVING,51,747852.1433313651,1142249.8468285596,0.540884542232603,85387.87659204747,0.8431372549019608
SUFOUH GARDENS,44,993607.1667282312,1060909.9704767517,-1.338224484790556,-931072.587724214,0.1590909090909091
Zaabeel Second,43,447828.22979813296,727325.6618933455,0.9417213111779876,-219638.28910570164,0.9069767441860465
Ras Al Khor Industrial First,40,235447.75220222241,480104.6173535515,0.9359624176446771,154316.29606228982,0.975
TECOM SITE A,37,657446.9143150093,859844.1520265326,0.8765413686424955,-302506.29453842243,0.8918918918918919
JADDAF WATERFRONT,37,246757.40067000943,374515.1610704599,0.8025623858650849,126891.80029242068,0.8108108108108109
Wadi Al Safa 7,35,255660.05020347796,367200.19606727187,0.07344261974373278,73386.46121892006,0.6857142857142857
DUBAI HARBOUR,35,1165334.7466233564,1917935.6769907163,0.7653062914784362,-292371.8488683474,0.5428571428571428
Marsa Dubai,33,1686165.4312199715,2176373.515479089,0.8510011101333599,-1329772.9498023456,0.6060606060606061
Al Kifaf,32,273213.67819607095,440778.4828391029,0.7063321233559152,142000.37849516422,0.9375
VILLANOVA,32,251421.91704122798,300878.58412544365,0.6280490080514451,-150664.1241711668,1.0
Nad Al Shiba First,32,1064107.1614872343,1842346.2497412728,0.7990284953764812,738677.2436495137,0.875
FALCON CITY OF WONDERS,32,110913.03881192251,125840.21436146519,0.9219482353471197,49312.18380077273,1.0
MBR DISTRICT 1,29,542361.6660327824,943007.3067463106,0.9321955438163414,433013.3915581207,0.7241379310344828
PALM DEIRA,29,736597.5217329244,1845450.6983645954,0.5231790784155839,141246.51933277652,0.8275862068965517
MIRA,27,261901.77608541868,327263.52511439566,0.5569037235598852,-56408.7782959876,1.0
Saih Shuaib 1,24,295375.67699012614,435466.3563403273,0.9884842221046382,-281502.6317208042,1.0
REMRAAM,24,96795.4198653053,121379.35918259669,0.8846504847253921,83607.42367890007,0.9166666666666666
EMAAR SOUTH,23,205817.5039392925,298453.97862761474,0.8277849707016056,126730.35470436473,0.9565217391304348
Mirdif,21,254280.355010757,473363.22758210497,0.6732365189585283,-8188.576929660387,0.9047619047619048
Um Suqaim Third,20,435417.92106216063,664978.6002148669,0.8104006013995357,-4523.2563209915415,0.75
ARABIAN RANCHES I,20,480858.0842410995,645710.7361175567,0.48829948689134495,-147718.89618621703,0.95
THE FIELD,19,251005.39364979346,298353.81052762753,0.7773132449920165,64692.596667344806,1.0
Al Jadaf,18,213703.18460476672,355286.74844687944,0.8956495570139624,-50491.00637016745,0.8888888888888888
Business Bay,17,496482.47140579805,966164.8334386882,0.8808837606805433,345520.2775058862,0.9411764705882353
DUBAI WATER CANAL,17,1824593.9141147197,2354968.1533273207,0.9227804940057646,-403107.9117681994,0.5882352941176471
NAD AL SHEBA GARDENS,16,1642327.4141561177,2825973.6395712527,0.6137133757312008,164402.54576575098,0.6875
Zaabeel First,16,2683132.5111912885,7073614.140702686,-0.051225162351402176,2004646.5399694862,0.5625
Al Hebiah Fourth,15,420490.58287351945,640418.8666816922,0.8567832189266716,3891.095296722123,0.9333333333333333
CITY WALK,15,502973.2746150445,778167.6362334352,0.939046515109915,225302.48684017747,0.9333333333333333
BARSHA HEIGHTS,15,153168.03128163455,176657.3307049269,0.6689778420693946,-95855.41988274237,1.0
MBR DISTRICT 7,14,355662.9708950385,454964.4557201318,0.8461237161085815,253606.44400913088,0.6428571428571429
TILAL AL GHAF,14,1004480.5438719249,1807502.3774322078,-0.22180231035762277,685272.0653323095,0.7857142857142857
MEYDAN AVENUE,13,406431.27806523856,568050.9155230819,0.7601003187094963,137178.927536939,0.7692307692307693
Madinat Hind 4,13,104190.98539333371,135764.56801224494,0.746325286059737,85432.0273104852,0.9230769230769231
LA MER,13,822274.6847643475,1347643.1393614977,0.9863294644503116,-28680.47750363062,0.7692307692307693
AL KHAIL HEIGHTS,13,47180.70683286186,62086.08884599505,0.9392236526153074,30063.510907343025,0.9230769230769231
JUMEIRAH GOLF,12,3239425.1090039336,8901367.90715971,0.435691647137591,-2384129.185349343,0.25
Al Barsha First,12,369753.3820056869,437976.89040279406,0.6200017886048186,363039.1526334326,0.5833333333333334
ARABIAN RANCHES III,12,513569.17459868966,911946.663339395,0.09609665140072066,472316.18897247803,0.8333333333333334
Al Merkadh,12,174284.83574871844,230808.70531595964,0.7155459364006972,124384.15442422855,0.9166666666666666
Trade Center First,12,1161457.0760250157,1554000.270909927,-0.050606905465138796,-825708.1295311087,0.5833333333333334
