PROCEDURE_EN,rows,ratio_median,ratio_mean,ratio_max,median_price_per_sqm
Delayed Development,74,1.0,1.0,1.0,9579.245584725537
Delayed Sell,2101,1.0,0.9933407676240084,1.0045804300154413,18702.37771215817
Delayed Sell Development,2,1.0,1.0,1.0,10535.635399119037
Delayed Sell Lease to Own Registration,28,1.0,1.0,1.0,16096.019836855674
Development Registration,118,1.0,2.179143659320488,101.97836166924267,9685.960483472289
Development Registration Pre-Registration,1080,1.0,1.0,1.0,12904.767971103414
Lease to Own Registration,284,1.0,1.0,1.0,15425.267808272734
Lease to Own Registration Pre-Registration,1,1.0,1.0,1.0,12242.61018349165
Lease to Own on Development Registration,1,1.0,1.0,1.0,8968.058968058967
Sale,15765,1.0,0.9911685623131269,2.0,15406.468531468532
Sale On Payment Plan,190,1.0,1.0,1.0,12916.676003401004
Sell - Pre registration,56827,1.0,0.9987986238655968,2.60300274289014,19519.08742121129
Sell Development,395,1.0,0.9873164521435975,1.0002010050251255,9560.328255162578
Sell Development - Pre Registration,20,1.0,0.9750031324395438,1.0,11761.35671463692
